source,target
5131.40872,5131.46233
5119.40891,5131.40872
5113.40402,5119.40891
5113.40402,5119.43033
5119.43032,5119.43033
5119.40342,5119.40793
5119.40783,5119.40793
5119.40342,5119.40783
5119.40342,5119.40892
5119.40892,5119.43581
5119.43581,5119.43582
5119.43582,5119.43583
5119.43583,5119.46141
5119.46141,5119.46143
5119.43583,5119.46143
5119.46141,5131.43861
5131.43861,5131.43862
5119.43581,5119.46141
5119.43581,5131.43861
5119.40803,5119.40892
5119.40342,5119.40891
5119.40783,5119.40801
5119.40801,5119.40811
5119.40332,5119.43642
5119.40793,5119.46361
5119.43032,5123.40763
5119.40312,5119.40332
5119.40332,5123.40863
5123.40353,5123.40863
5119.40791,5123.40353
5123.40763,5123.48731
5123.48731,5123.48732
5123.48321,5123.48732
5123.48161,5123.48321
5123.40861,5123.48161
5119.40813,5123.40861
5119.40813,5119.42161
5119.42161,5119.48191
5119.48191,32138.63252
32138.63252,32138.63253
32138.63253,32138.64112
32138.60141,32138.64112
32138.60141,32138.60143
32138.60142,32138.60143
32138.60142,32138.62282
32138.62282,32138.64161
32138.64161,32138.64163
32138.60132,32138.64163
32138.60131,32138.60132
32138.60131,32138.60133
32138.60133,32138.6034
32138.60121,32138.6034
32138.60121,32138.60123
32138.60122,32138.60123
32138.60122,32138.60128
32138.60128,32138.61202
32138.61202,32138.64502
32138.60091,32138.64502
32138.60091,32138.60092
32138.60092,32138.62903
32138.62901,32138.62903
32138.62901,32138.62902
32138.60192,32138.62902
32138.60192,32138.60193
32138.23062,32138.60193
32138.23062,32138.23902
32136.52182,32138.23902
32136.20552,32136.52182
32136.20411,32136.20552
32136.20411,32136.20421
32136.20421,32136.20423
32136.20423,32136.22141
32136.22141,32136.22143
32136.22142,32136.22143
32136.20271,32136.22142
32136.20271,32136.20272
32136.20272,32136.20292
32136.20292,32136.22207
32136.22207,32136.22209
32136.20201,32136.22209
32136.20201,32136.20202
32136.20202,32136.22108
32136.20202,52224.20112
52224.20112,52224.20113
52224.20113,52224.23141
52224.23141,52224.23142
52224.22299,52224.23142
52224.22299,52224.23041
52224.23041,52224.23042
52224.22697,52224.23042
52208.22378,52224.22697
52208.22378,52224.20182
52208.17201,52224.20182
52208.15861,52208.17201
52208.15861,52208.15863
52208.15702,52208.15863
52208.15702,52208.15703
32147.15548,52208.15703
32147.15548,32147.15549
32147.15549,52187.18112
52187.18112,52187.18113
52187.15941,52187.18113
52187.15941,52187.15943
32108.15508,52187.15943
32108.15508,32108.15831
32108.15831,32108.15832
32108.15832,32108.15981
32108.15981,32108.15982
32108.15832,32108.15982
32108.15512,32108.15832
32108.15832,32115.25011
32115.25011,32123.25631
32115.26153,32123.25631
32115.26153,32115.27113
32115.25011,32115.27113
32115.25011,32115.25012
32115.25012,32115.26153
32115.26152,32115.26153
32115.25032,32115.26152
32115.25032,32115.26171
32115.26171,32115.26172
32115.26172,32115.29403
32115.29403,32116.25043
32116.25042,32116.25043
32116.25042,32123.29572
32114.27641,32123.29572
32114.27641,32123.25642
32123.25642,32123.27652
32106.27611,32123.27652
32106.27611,32106.27613
32106.27613,32114.26253
32106.27632,32114.26253
32106.26911,32106.27632
32106.26911,32106.26913
32106.26913,32106.27581
32106.27581,32106.27582
32106.27582,32106.29481
32106.29481,32106.29482
32106.29482,32106.29483
32106.25362,32106.29483
32106.25361,32106.25362
32106.25361,32106.25363
32106.25363,32106.26909
32102.13028,32106.26909
32102.13028,32102.13029
32102.10072,32102.13029
32102.10072,32102.10073
32102.10073,32102.13029
32102.10073,32102.13303
32102.11662,32102.13303
32102.10061,32102.11662
32102.10061,32102.10062
32102.10062,32102.13283
32102.13283,32102.13303
32102.13302,32102.13303
32102.13301,32102.13303
32102.11612,32102.13301
32102.11612,32104.14209
32102.18313,32104.14209
32102.11611,32102.18313
32102.11611,32102.13301
32102.11611,32106.26501
32106.26501,32106.26502
32104.12252,32106.26501
32102.11612,32104.12252
32102.11611,32102.11612
32102.11612,32102.18313
32104.14207,32104.14209
32102.13281,32104.14207
32102.11612,32102.13281
32102.18312,32102.18313
32102.18311,32102.18312
32102.18311,32104.14198
32104.14197,32104.14198
32102.18312,32104.14198
32102.10071,32102.18312
32102.10071,32102.10073
32102.10073,32102.13643
32102.12031,32102.13643
32102.12031,32102.12033
32102.12032,32102.12033
32102.12032,32102.13642
32102.12031,32102.12032
32102.12031,32102.13642
32102.12032,32102.13282
32102.12033,32102.13282
32102.10282,32102.12032
32102.10282,32102.13282
32102.11222,32102.13282
32102.10062,32102.13282
32102.13282,32102.13283
32102.13282,52229.15082
52229.15082,52229.17092
52229.17092,52229.17093
52229.15081,52229.17093
52229.15081,52229.19203
32144.15421,52229.15081
32144.15421,32144.15431
32103.15663,32144.15421
32103.15662,32103.15663
32103.15662,32103.17141
32103.15662,32144.15382
32144.15382,32144.16161
32144.15381,32144.16161
32144.15381,32144.17362
32144.1733,32144.17362
32144.15422,32144.1733
32144.15422,32144.17362
5113.43782,32144.15422
5113.43782,5131.43021
5113.41742,5131.43021
5113.41741,5113.41742
5113.41462,5113.41741
5113.41462,5113.43123
5113.41462,5113.41463
5113.41463,5113.43742
5113.43742,5113.43743
5113.43633,5113.43743
5113.41702,5113.43633
5113.41702,5113.41703
5113.41671,5113.41703
5113.41673,5113.41703
5113.40411,5113.41673
5113.40411,48053.44452
48053.44451,48053.44452
48053.44451,48053.44453
48053.40132,48053.44453
48053.40132,48053.42932
5125.40153,48053.42932
5125.40153,48053.40132
5125.44393,48053.42932
5125.44393,48053.44453
48017.40111,48053.44453
48017.40111,48053.40132
48053.40132,48053.41432
48053.41432,48053.42932
48053.40141,48053.41432
48053.40141,48053.44782
48017.40111,48053.42932
48017.40111,48053.41432
48053.42932,48053.44453
5113.40363,48053.40132
5113.40363,48053.44453
5113.41673,48053.44452
5113.41673,5113.43091
5113.41671,5113.41673
5113.43633,5113.43742
5113.43123,5113.43742
5113.41741,5113.43123
5113.40403,5131.43021
5113.40402,5113.40403
5119.40341,5119.40891
5119.40791,5119.40792
5123.48311,5123.48321
5123.48151,5123.48311
5123.42252,5123.48151
5123.42251,5123.42252
5123.42252,5123.42253
5123.42251,5123.42253
5123.40853,5123.42252
5123.48321,5123.48731
5123.40352,5123.40863
5119.40783,5123.40863
5119.40793,5119.60241
5119.40791,5119.46361
5119.40332,5119.40791
5119.40793,5123.40863
5113.41852,5119.46361
5113.41852,5123.42253
5119.43031,5119.60292
5119.60292,5119.60293
5119.43031,5119.60293
5119.43033,5119.60292
5119.40792,5119.40793
5119.43642,5119.46361
5119.40342,5119.46361
5119.42171,5119.60241
5119.40813,5119.46361
5119.40342,5119.60241
5119.40332,5123.40763
5113.40322,5119.43032
5113.40321,5113.40322
5113.40322,5113.43633
5113.40463,5113.43742
5113.40463,5113.43633
5113.40321,5113.43633
5113.40321,5113.43122
5113.40322,5113.43122
5113.40323,5113.43633
5113.40323,5113.40463
5113.40321,5113.40463
5113.40321,5113.40323
5113.40323,5113.43122
5113.40322,5113.40323
5113.41462,5113.43122
5113.40323,5113.41462
5113.43122,5113.43633
5113.40322,5119.40332
5119.40811,5119.60241
5119.40341,5119.40811
5119.40332,5119.40792
5119.40811,5119.43032
5113.41802,5119.40811
5119.40811,5123.40352
5119.40811,5123.44152
5119.40332,5123.44152
5119.40331,5119.40332
5119.40312,5119.40331
5119.40312,5119.40333
5119.40312,5119.40313
5119.40313,5119.43642
5113.41801,5119.43642
5113.41801,5113.41803
5113.40322,5113.41801
5113.40321,5113.41801
5113.40322,5113.41803
5113.40401,5113.41803
5113.40401,5113.43781
5113.43781,5113.43783
5113.41742,5113.43783
5113.41741,5113.43783
5113.41462,5113.43783
5113.41462,5113.41742
5119.43031,5131.43021
5113.40403,5119.60293
5119.40341,5119.40892
5119.40333,5119.43642
5119.43641,5119.43642
5119.43641,5119.43643
5113.41802,5119.43643
5113.41801,5113.41802
5113.41802,5119.43641
5113.40322,5123.40763
5113.40323,5113.43742
5113.40322,5113.40463
5113.43742,5119.43031
5113.41801,5119.43031
5113.40322,5119.43031
5113.40322,5113.43742
5113.41801,5113.43633
5113.41462,5113.43633
5113.40323,5119.43031
5113.40463,5119.43031
5113.40463,5119.60291
5113.40321,5113.41803
5113.40323,5113.41803
5119.40793,5123.40351
5123.40351,5123.40763
5123.40762,5123.40763
5123.40762,5123.60843
5123.42253,5123.60843
5123.40861,5123.42253
5123.40832,5123.48311
5123.40821,5123.40832
5123.40821,5123.40852
5123.40821,5123.40822
5123.40822,5123.48462
5123.40823,5123.48462
5119.40782,5123.40823
5119.40781,5119.40782
5119.40782,5119.43571
5119.40813,5119.43571
5119.40813,5119.48432
5119.40801,5119.48432
5119.40801,5119.40803
5119.40892,5131.41121
5131.41121,5131.41123
5131.41123,5131.41191
5131.41191,5131.41193
5131.41193,5131.42431
5131.42431,5131.42432
5131.42432,5131.44572
5131.44572,5131.45653
5131.44572,5131.44573
5131.41193,5131.44573
5131.41193,5131.43023
5131.43023,48017.42442
48017.42441,48017.42442
48017.42442,48017.42443
48017.42443,48017.42463
48017.41291,48017.42463
48017.41291,48017.41321
48017.41321,48017.41323
48017.40072,48017.41323
48017.40072,48017.41341
48017.41341,48017.41343
48017.40072,48017.41343
48017.40072,48017.44071
48017.44071,48017.47312
48017.45271,48017.47312
48017.45271,48017.47313
48017.44071,48017.47313
48017.40062,48017.44071
48017.40062,48017.46101
48017.44071,48017.46101
48017.44071,48051.44042
48017.44072,48051.44042
48017.44072,48051.47201
48051.47201,48051.47203
48051.42681,48051.47203
48051.42681,48051.42683
48051.41211,48051.42683
48051.41211,48051.47372
48051.41211,48051.41212
48051.41212,48051.47253
48051.41212,48051.49272
48051.49271,48051.49272
48051.47652,48051.49271
48051.47652,48051.47653
48051.41261,48051.47653
48051.41241,48051.41261
48051.41241,48051.41263
48051.41241,48051.41242
48051.41242,48051.47581
48051.47581,48051.47582
48051.47582,48051.47583
48051.43981,48051.47583
48051.43981,48051.43983
48051.43983,48051.47141
48051.47131,48051.47141
48051.47131,48051.47133
48051.47133,48051.47141
48051.47141,48051.47142
48051.47142,48051.47143
48051.47142,48051.47572
48051.47151,48051.47572
48051.47151,48051.47153
18403.61441,48051.47153
18403.61441,18403.61443
18403.61431,18403.61443
18403.61431,18403.61432
18403.61432,18403.63533
18403.61421,18403.63533
18403.61421,18403.64251
18403.62611,18403.64251
18403.62611,18403.62613
18403.62613,18403.64251
18403.64251,18403.64253
18403.64253,18403.65151
18403.64131,18403.65151
18403.64131,18403.64133
18403.61413,18403.64133
18403.61401,18403.61413
18403.61401,18403.61403
18403.61403,18403.61771
18403.61771,18403.61773
18402.63771,18403.61773
18402.63771,18402.63773
18402.61392,18402.63773
18402.61383,18402.61392
18402.61383,18402.62867
18402.61371,18402.62867
18402.61371,18402.61372
18402.61372,18402.62822
18402.60611,18402.62822
18402.60611,18402.60612
18402.60612,18402.60618
18402.60618,18402.61853
18402.61852,18402.61853
18402.60603,18402.61852
18402.60602,18402.60603
18402.60602,18402.61721
18402.61721,18402.61722
18402.60583,18402.61722
18402.60583,18402.64271
18402.64271,18402.64272
18401.60591,18402.64272
18401.60591,18401.60593
18401.60571,18401.60593
18401.60571,18401.60572
18401.60561,18401.60572
18401.60561,18401.60562
18401.60551,18401.60562
18401.60551,18401.60552
18401.60543,18401.60552
18401.60542,18401.60543
18401.60542,31801.60531
31801.60531,31801.60533
31801.60533,31801.63982
31801.60511,31801.63982
31801.60511,31801.60513
31801.60501,31801.60513
31801.60501,31801.60502
31801.60117,31801.60502
31801.60117,31801.60491
31801.60491,31801.60493
31801.60493,31801.63041
31801.63041,31801.63043
31801.63043,31801.64202
31801.60221,31801.63043
31801.60221,31801.64202
31801.60221,31801.60222
31801.60222,31801.60223
31801.60217,31801.60223
31801.60217,31801.60218
31801.60211,31801.60218
31801.60211,31801.60212
31801.60212,31801.62212
31801.60201,31801.62212
31801.60201,31801.60203
31801.60021,31801.60203
31801.60021,31801.60022
31801.60022,31801.60023
31801.60023,31801.60181
31801.60181,31801.60183
31801.60183,31801.62291
31801.62291,31801.62293
31801.62293,32138.60171
32138.60171,32138.60172
32138.60172,32138.60173
32138.60161,32138.60173
32138.60161,32138.60162
32138.60162,32138.64522
32138.60151,32138.64522
32138.60151,32138.60153
32138.60153,32138.61922
32138.60153,32138.63252
32138.60141,32138.63252
32138.64013,32138.64163
32138.60131,32138.64013
32138.60122,32138.61202
32138.61201,32138.61202
32138.61201,32138.61203
32138.60107,32138.61203
32138.60107,32138.64501
32138.64501,32138.64502
32138.60193,32138.62881
32138.62881,32138.62883
32138.62883,32138.64101
32138.60952,32138.64101
32138.60952,32138.62893
32138.62411,32138.62893
32138.62411,32138.62413
32138.23061,32138.62413
32138.23061,32138.23062
32138.23062,32138.23901
32138.23901,32138.23902
32136.20551,32138.23902
32136.20551,32136.52182
32136.20542,32136.20552
32136.20411,32136.20542
32136.20411,32136.20413
32136.20413,32136.20421
32136.20421,32136.22141
32136.20271,32136.22143
32136.20272,32136.22207
32136.20123,32136.20202
32136.20202,52224.20172
52224.20112,52224.20172
52208.15861,52224.22299
32108.15982,32108.18232
32107.15471,32108.15512
32115.26172,32116.25043
32116.25042,32116.26987
32116.26987,32116.26988
32116.25331,32116.26988
32116.25331,32116.25332
32116.25332,32123.29572
32123.25642,32123.29572
32106.27611,32123.25642
32106.27613,32123.27652
32106.27632,32123.27652
32106.26911,32106.27581
32106.29481,32106.29483
32106.25362,32106.29482
32106.25362,32106.25363
32102.13028,32102.13303
32102.10061,32102.13303
32102.10062,32102.10063
32102.11613,32102.13303
32102.10061,32102.11613
32102.11611,32102.11613
32102.11611,32104.13241
32102.11613,32104.13241
32102.11611,32104.13652
32104.13652,32104.13653
32104.10202,32104.13653
32104.10202,32104.12253
32104.10201,32104.10202
32104.10202,32104.10203
32104.10163,32104.10202
32104.10163,32104.12251
32104.10161,32104.10163
32104.10161,32104.14402
32104.14401,32104.14402
32104.14401,32106.27722
32106.27722,32106.29483
32106.26907,32106.29483
32106.27723,32106.29483
32106.27722,32106.27723
32106.26908,32106.27722
32106.26908,32106.27723
32106.26907,32106.27723
32106.26907,32106.27722
32104.12672,32106.27722
32104.12671,32104.12672
32104.10303,32104.12671
32104.10303,32109.11193
32104.12671,32104.13551
32104.12672,32104.13551
32104.12347,32104.12672
32102.10062,32104.12672
32102.10062,32102.13271
32102.13271,32102.13272
32102.13272,32102.14242
32102.14241,32102.14242
32102.14241,32102.25391
32102.14243,32102.25391
32102.13272,32102.14243
32102.13272,32106.25383
32106.25383,32106.26147
32106.26147,32106.26149
32106.26149,32106.26502
5113.40322,32106.26501
5113.40323,5119.60291
5113.40321,5119.60291
5113.40321,5119.43031
5113.40321,5113.41462
5119.40811,5119.42171
5113.41462,5119.43031
5113.41462,5113.41801
5113.43122,5119.43031
5113.40321,5119.60293
5113.41462,5119.60293
5113.40322,5113.41462
5113.43122,5113.43123
5113.41801,5113.43122
5119.40313,5119.43031
5119.43031,5119.43032
5119.40341,5119.43033
5119.40341,5131.40872
5113.40401,5113.40402
5113.40321,5119.40811
5113.40322,5119.40811
5113.41801,7803.00366
7803.00365,7803.00366
7803.00343,7803.00365
7803.00364,7803.00365
7803.00363,7803.00365
7803.00364,7803.32063
7803.00363,7803.00364
7803.00364,7803.00366
7803.00366,7803.32063
7803.00343,7803.32063
7803.00333,7803.00343
7803.00333,7803.00341
7803.00332,7803.00341
7803.00332,7803.00342
7803.00342,7830.06283
7803.00323,7830.06283
7803.00322,7803.00323
7803.00322,7830.06283
7830.06282,7830.06283
7830.00313,7830.06282
7830.00313,7830.43563
7830.00311,7830.00313
7830.00311,7830.08723
7830.08722,7830.08723
7830.08722,7830.31913
7830.31912,7830.31913
7830.00301,7830.31912
7830.00301,7830.00302
7830.00302,7850.30383
7850.00291,7850.30383
7850.00291,7850.30382
7850.00291,7850.00292
7850.00292,7850.30563
7850.30562,7850.30563
7850.30562,7850.32863
7850.00292,7850.32863
7816.00283,7850.00292
7816.00283,7816.00892
7816.00892,7827.06713
7827.06712,7827.06713
7827.00921,7827.06712
7827.00921,7827.00922
7827.00922,7827.30213
7827.30212,7827.30213
7827.00013,7827.30212
7801.08062,7827.00013
7801.08062,7804.00191
7801.08041,7801.08062
7801.08062,7838.00563
7838.00563,7838.00583
7838.00561,7838.00583
7838.00561,7838.07522
7838.07521,7838.07522
7838.00602,7838.07521
7838.00602,7838.06863
7838.06862,7838.06863
7838.00592,7838.06862
7838.00592,7838.06861
7838.06861,7838.30552
7838.00592,7838.30552
7838.00592,7838.30512
7838.00591,7838.00592
7838.00591,7838.00632
7838.00592,7838.00632
7838.00592,7838.00593
7838.00593,7838.30552
7838.00593,7838.00601
7838.00601,7838.30551
7838.30513,7838.30551
7838.00593,7838.30513
7838.00593,7838.00612
7838.00612,7838.30552
7838.00602,7838.30552
7838.00593,7838.06863
7838.00593,7838.00602
7838.00581,7838.00602
7838.00581,7838.06863
7838.00622,7838.06863
7838.00622,7838.30552
7838.00601,7838.30552
7838.00601,7838.00612
7838.00611,7838.00612
7838.00611,7847.00653
7847.00651,7847.00653
7847.00651,7847.07653
7847.00662,7847.07653
7847.00661,7847.00662
7838.00623,7847.00653
7838.00611,7838.00623
7838.00601,7838.30553
7838.00601,7838.00603
7838.00602,7838.00603
7838.00583,7838.06863
7838.00583,7838.07471
7838.00561,7838.07472
7838.00561,7838.07473
7838.00583,7838.07522
7838.00561,7838.00562
7838.00562,7838.07473
7838.00561,7838.00563
7838.00583,7838.07472
7838.00563,7838.30253
7801.08062,7838.30253
7801.08061,7801.08062
5123.48531,7801.08061
5123.42121,5123.48531
5123.42121,5123.42131
5123.42131,5123.48291
5123.48281,5123.48291
5123.48131,5123.48281
5123.48131,5123.48161
5123.40763,5123.48321
5123.40352,5123.40861
5119.40332,5123.40861
5119.40331,5119.40333
5119.40312,5119.43642
5113.40321,5119.40332
5119.40313,5119.60291
5119.40313,5119.40333
5119.40333,5119.43031
5119.43031,5119.60291
5119.40333,5119.60291
5119.43643,5119.60291
5119.43643,5119.60293
5113.40401,5119.60293
5113.41462,5131.43021
5113.41462,5119.60291
5113.40323,5119.40331
5113.41801,5119.43641
5119.40331,5119.43031
5113.40322,5119.60293
5113.41803,5113.43122
5119.40332,5119.40783
5119.40793,5119.40801
5119.40813,5119.60241
5113.43742,5119.60291
5113.41793,5113.43633
5113.41793,5113.43122
5113.43122,5119.40332
5113.40322,5123.40762
5119.40801,5119.43032
5119.40783,5123.40763
5119.40801,5123.40763
5119.40811,5119.40812
5119.40332,5119.40801
5119.40332,5123.40762
5119.40333,5119.43033
5119.43031,5119.43033
5113.43633,5119.43032
5113.41801,5119.60291
5113.40323,5113.41801
5113.41741,5113.43633
5113.41741,5113.43122
5119.40311,5119.43641
5119.40311,5119.40331
5119.40311,5119.40313
5113.40323,5119.60293
5113.40322,5113.40402
5113.40402,5119.43031
5113.41801,5119.60293
5113.40323,5119.40811
5113.40463,5119.60293
5113.40321,5119.40342
5113.43633,5119.60291
5119.40791,5123.40863
5123.40821,5123.48311
5123.40822,5123.42151
5123.40822,5123.40823
5119.40781,5123.40822
5119.40801,5119.43571
5119.40891,5131.46231
5131.40872,5131.40873
5131.40873,5131.46133
5131.42113,5131.46133
5131.40873,5131.42113
5131.40873,5131.43023
5131.43023,5131.45623
5131.45621,5131.45623
5131.41121,5131.45623
5131.41123,5131.46462
5131.46462,5131.46463
5131.41191,5131.46463
5131.41193,5131.46461
5131.46461,5131.46463
5131.42431,5131.46463
5131.42432,5131.45651
5131.44572,5131.45651
5131.44573,48017.41323
48017.40071,48017.41323
48017.40071,48017.40072
48017.40071,48017.40112
48017.40112,48017.41341
48017.40072,48017.40073
48017.40073,48017.44071
48017.44071,48017.44072
48051.41233,48051.47653
48051.41212,48051.41261
48051.41261,48051.41263
48051.41242,48051.47582
48051.43983,48051.47131
48051.47143,48051.47572
18403.61423,18403.62613
18403.61423,18403.64251
18403.61401,18403.64133
18402.61841,18402.63773
18402.61392,18402.61841
18402.61371,18402.61383
18402.60611,18402.61372
18401.60571,18402.60611
18401.60561,18401.60571
18401.60551,18401.60561
18401.60541,18401.60543
18401.60541,18401.60542
31801.60511,31801.60531
31801.60493,31801.63043
31801.60217,31801.60222
31801.60023,31801.60822
31801.60181,31801.60822
32138.60171,32138.60173
32138.61922,32138.63252
32138.63252,32138.64112
32138.60143,32138.62282
32138.60131,32138.64163
32138.60121,32138.60122
32138.61202,32138.61203
32138.61203,32138.64501
32138.60107,32138.62862
32138.60107,32138.60109
32138.60109,32138.64501
32138.60952,32138.62883
32138.62893,32138.64102
32138.63681,32138.64102
32138.63681,32138.63683
32138.60071,32138.63683
32138.60071,32138.60072
32136.22141,32138.60072
32136.20123,32136.22209
32136.20202,32136.22209
32136.20202,52244.22398
52224.20112,52244.22398
52224.22298,52224.23041
52224.22697,52224.22698
52224.20021,52224.22698
52224.20021,52224.20022
52208.22377,52224.20022
52208.22377,52208.22378
52208.15861,52208.22378
52208.15702,52208.15861
32108.15507,52187.15941
32108.15507,32108.15508
32108.15982,32115.26981
32115.25011,32115.26981
32115.25012,32115.26152
32116.26988,32116.29102
32116.25332,32116.29102
32116.25332,32116.25333
32116.25333,32123.29572
32102.10073,32102.13302
32102.10061,32102.13049
32102.10062,32102.13049
32102.10063,32102.13049
32102.13048,32102.13283
32102.12033,32102.13048
32102.12032,32102.13643
32102.13281,32102.13643
32102.13281,32102.13303
32104.12251,32104.12252
32104.10111,32104.10202
32104.10111,32104.10153
32104.10153,32104.14089
32104.12357,32104.14089
32104.12358,32104.14089
32104.12357,32104.12358
32104.14089,32104.14197
32104.10153,32104.14197
32104.10111,32104.10112
32104.10111,32104.10162
32104.10111,32104.14258
32104.10153,32104.14258
32104.10161,32104.14258
32104.14258,32104.14259
32104.10202,32104.14259
32102.11613,32104.10202
32102.10073,32102.13281
32102.13281,32102.13282
32102.13643,32102.14978
32102.12032,32102.14978
32102.13048,32102.13282
32102.13048,32102.13049
32102.13047,32102.13048
32102.12033,32102.13047
32102.10062,32102.13048
32102.13047,32102.13283
32102.13047,32102.13303
32102.13301,32104.12252
32102.11611,32104.12252
32104.14259,32104.14332
32104.14331,32104.14332
32104.10302,32104.14331
32104.10301,32104.10302
32104.10301,32109.13667
32109.10793,32109.13667
32109.10791,32109.10793
32109.10791,32109.14289
32109.14287,32109.14289
32109.10942,32109.14287
32109.10941,32109.10942
32109.10941,32109.12402
32103.10932,32109.12402
32103.10931,32103.10932
32103.10931,32103.13071
32103.10921,32103.13071
32103.10921,32103.13293
32103.13293,32103.15392
32103.1521,32103.15392
32103.1521,32103.15281
32103.15281,32144.19053
32144.19051,32144.19053
32144.18351,32144.19051
32144.15422,32144.19051
32144.15383,32144.15422
32144.15382,32144.15383
32144.15382,32144.18151
32144.18151,32144.19062
32144.18152,32144.19062
32144.18152,32144.18153
32144.16161,32144.18153
32144.18153,32144.19051
32144.15371,32144.19051
32144.15371,32144.15373
32144.15373,32144.15402
32144.15402,32144.18153
32144.15373,32144.18153
32144.15373,32144.18361
32144.18361,32144.18363
32144.18363,52229.17091
52229.15111,52229.17091
52229.15111,52229.15112
52229.15112,52229.19201
52229.19201,52229.19203
52229.15081,52229.15083
52229.15083,52229.15103
52229.15103,52229.18032
52229.18031,52229.18032
52229.15071,52229.18031
52229.15071,52229.15083
52229.15071,52229.17103
52229.17103,52229.18013
52229.18011,52229.18013
52229.15123,52229.18011
52229.15123,52229.17102
52229.17102,52229.18041
52229.18041,52229.18042
32107.19113,52229.18042
32107.15142,32107.19113
32107.15141,32107.15142
32107.15141,32107.15143
32107.15143,52229.17101
52229.17101,52229.17103
32146.10387,52229.17103
32146.10387,32146.10389
32146.10389,32146.10563
32146.10389,32146.10531
32146.10531,32146.11031
32146.11031,32146.14161
32146.14161,32146.14162
32146.13251,32146.14162
32104.10471,32146.13251
32104.10471,32104.10473
32104.10472,32104.10473
32104.10353,32104.10472
32104.10353,32104.13603
32104.10352,32104.13603
32102.12201,32104.10352
32102.12201,32104.10023
32102.12201,32104.1003
32102.12201,32104.15133
32104.15132,32104.15133
32104.15131,32104.15132
32104.15132,32104.2921
32104.2921,32169.32931
32169.32931,32169.33612
32169.32931,32169.33613
32169.32113,32169.33613
32169.32112,32169.32113
32152.31272,32169.32112
32152.30311,32152.31272
32152.30311,32152.30312
32152.30312,32152.34312
32152.32092,32152.34312
32152.32092,32152.34201
32152.31202,32152.34201
32152.31202,32152.31203
32152.30459,32152.31203
32152.30459,32166.34232
32166.34231,32166.34232
32166.34231,32166.34233
32166.34233,32166.34932
32166.34932,32166.34933
32166.31121,32166.34932
32166.31121,32166.31123
32166.31123,32166.32782
32166.32782,32166.34212
32166.33103,32166.34212
32159.31101,32166.33103
32159.31101,32159.31103
32159.31103,32159.32641
32159.32641,32159.32642
32159.30951,32159.32642
32159.30951,32159.30952
32159.30952,32159.30953
32159.30953,32171.34463
32159.34141,32171.34463
32159.34141,32159.34142
32159.34142,32159.34143
32159.33371,32159.34143
32159.33371,32159.33373
32150.31561,32159.33373
32150.31561,32150.31562
