cellId,lat,lon
14.60023,33.97988,-118.38818
14.60163,33.94373,-118.39851
14.60541,33.98668,-118.44128
14.60542,33.98322,-118.43767
14.60543,33.98357,-118.44258
14.61722,33.96953,-118.41605
14.62251,33.99654,-118.39568
14.62252,33.98909,-118.39216
14.62253,33.98976,-118.40064
14.62281,34.01532,-118.41374
14.62282,34.0159,-118.40979
14.62283,34.01433,-118.41402
14.64691,34.0003,-118.42938
15.00342,37.95182,23.67739
15.00343,37.95292,23.66655
15.00823,37.97292,23.70808
15.02248,37.96967,23.70484
15.02312,37.94799,23.65798
15.02313,37.94673,23.65382
15.05021,37.94499,23.67287
15.05022,37.94196,23.65968
15.05023,37.9443,23.65912
15.05028,37.93321,23.65503
16.32671,34.01864,-118.48653
16.32672,34.01394,-118.48185
16.32673,34.01356,-118.49022
16.32681,34.03071,-118.46806
16.32682,34.02507,-118.46477
16.32683,34.02444,-118.47265
16.33842,34.03649,-118.61996
16.33851,34.03798,-118.55746
16.33881,34.00953,-118.49329
16.33882,34.00426,-118.48591
16.33931,34.03828,-118.47654
16.33932,34.03154,-118.47363
16.33933,34.03355,-118.48007
16.34113,34.02531,-118.51458
16.34161,34.02733,-118.4789
16.34162,34.02322,-118.47731
16.35992,34.01248,-118.49575
16.35993,34.01481,-118.49893
16.39042,34.01212,-118.46903
16.39043,34.01425,-118.4763
16.60121,34.02012,-118.50466
16.60122,34.02022,-118.49622
16.60123,34.01624,-118.49729
16.62501,34.03343,-118.48541
16.62502,34.02783,-118.48087
16.62503,34.02593,-118.49012
17.00453,51.71759,-1.03014
17.01622,51.75838,-1.25851
17.01623,51.73395,-1.2596
17.01624,51.75855,-1.27942
17.02198,51.70319,-1.00151
17.02199,51.67865,-0.96747
17.022,51.69974,-0.99416
17.02205,51.74268,-1.0682
17.02206,51.76062,-1.10469
17.0221,51.77519,-1.22941
17.02211,51.76095,-1.21231
17.02212,51.75249,-1.25673
17.02217,51.72459,-1.19924
17.02218,51.72448,-1.20498
17.0251,51.59861,-1.04899
17.02579,51.7291,-1.06869
17.0258,51.71253,-1.02652
17.02628,51.81067,-1.2663
17.0428,51.73917,-1.20826
17.04612,51.72324,-1.23554
17.04613,51.71887,-1.22752
17.04614,51.71393,-1.24696
17.05014,51.83115,-1.30371
17.07295,51.6452,-1.13309
17.0886,51.78145,-1.24596
17.08861,51.76861,-1.23264
17.08862,51.77079,-1.25327
17.09361,51.75932,-1.29534
17.09391,51.76102,-1.26656
17.09392,51.7518,-1.24796
17.09393,51.73246,-1.26503
17.12977,51.75023,-1.1213
17.12978,51.74149,-1.09626
17.12979,51.75092,-1.13662
17.13067,51.76612,-1.17569
17.13068,51.74573,-1.13281
17.13069,51.75596,-1.2088
17.13404,51.78921,-1.27394
17.13405,51.79051,-1.29599
17.13406,51.75333,-1.32319
17.13407,51.75974,-1.26654
17.1341,51.67492,-1.27482
17.14153,51.71763,-1.25475
17.14154,51.69958,-1.21817
17.14155,51.70293,-1.26268
17.14174,51.76967,-1.26991
17.14175,51.76296,-1.26259
17.14176,51.76111,-1.26789
17.16478,51.6651,-1.29249
17.16479,51.65595,-1.24172
17.1648,51.65129,-1.27784
17.17334,51.65331,-1.00389
17.19875,51.74023,-1.09682
17.21695,51.71843,-1.23363
17.23164,51.72447,-1.2153
17.23391,51.66304,-0.94608
17.23747,51.75656,-0.97863
17.23784,51.74774,-1.00791
17.23785,51.74647,-1.19592
17.23796,51.73753,-1.20049
17.23873,51.76322,-1.17759
17.2505,51.86176,-1.29519
17.25051,51.84377,-1.29437
17.2508,51.7173,-0.99782
17.27071,51.75833,-1.21758
17.27072,51.75356,-1.2227
17.29956,51.76229,-1.19603
17.29957,51.76288,-1.18933
17.29958,51.75579,-1.19591
17.31853,51.7736,-1.30132
17.31854,51.75403,-1.2621
17.31856,51.74164,-1.27957
17.34274,51.77332,-1.26207
17.34275,51.77905,-1.2689
17.34276,51.78525,-1.26775
17.34277,51.78082,-1.25268
17.34278,51.77128,-1.26806
17.3467,51.73938,-1.23551
17.34688,51.75575,-1.26086
17.34689,51.7346,-1.26167
17.3469,51.76425,-1.2973
17.34926,51.7559,-1.22463
17.34927,51.75532,-1.22224
17.34928,51.75391,-1.21676
17.3828,51.7512,-1.23954
17.38293,51.73846,-1.24993
19.00861,51.4974,-0.2864
19.01745,51.40738,-0.53958
19.01746,51.3953,-0.53258
19.02157,51.42992,-0.54081
19.02159,51.44752,-0.51955
19.02162,51.47196,-0.45288
19.02164,51.46868,-0.45279
19.02165,51.49838,-0.44947
19.02166,51.49141,-0.44553
19.02167,51.49439,-0.48072
19.03448,51.47148,-0.45877
19.05883,51.49555,-0.45284
19.1032,51.47919,-0.47678
19.12906,51.50653,-0.5017
19.14754,51.43704,-0.54167
19.15318,51.47434,-0.453
19.16787,51.42934,-0.54134
19.16789,51.41644,-0.5403
19.17463,51.47523,-0.50509
19.17464,51.46567,-0.50364
19.17465,51.46082,-0.51703
19.1748,51.4795,-0.46391
19.17784,51.47194,-0.45094
19.17786,51.4712,-0.45369
19.181,51.47027,-0.46006
19.18133,51.55986,-0.48069
19.19358,51.47219,-0.45253
19.19392,51.45161,-0.52281
19.19393,51.44815,-0.52551
19.19394,51.44233,-0.53047
20.02465,51.29759,-0.75777
20.03057,51.3108,-0.73646
20.03058,51.30796,-0.776
20.05217,51.56088,-0.53134
20.05218,51.55142,-0.52203
20.05221,51.60028,-0.53062
20.09761,51.28515,-0.86105
20.09764,51.28584,-0.88472
20.12645,51.64709,-0.5028
20.12646,51.63583,-0.49531
20.12647,51.6356,-0.51026
20.12952,51.66983,-0.48783
20.13538,51.28859,-0.85535
20.13541,51.29019,-0.84623
20.13544,51.28977,-0.83305
20.15021,51.29334,-0.803
20.15022,51.29354,-0.82389
20.32938,51.62777,-0.52155
20.32939,51.61158,-0.52118
20.40144,51.58464,-0.53506
20.40146,51.57119,-0.53498
20.40584,51.53247,-0.4945
20.44217,51.66049,-0.49415
20.44454,51.65248,-0.49718
23.02372,51.27717,-1.07219
23.02374,51.26145,-1.08665
23.02384,51.21157,-1.34317
23.02385,51.19729,-1.33741
23.02386,51.18292,-1.38212
23.02399,51.21259,-1.53046
23.024,51.19987,-1.48992
23.02401,51.19863,-1.50921
23.02455,51.2866,-0.90832
23.02474,51.27734,-0.98772
23.03423,51.17893,-1.35474
23.03424,51.16232,-1.33458
23.03425,51.14505,-1.37662
23.03768,51.18383,-1.3372
23.03998,51.27516,-1.0739
23.04261,51.21318,-1.48371
23.04263,51.20238,-1.48789
23.04839,51.21892,-1.34282
23.04841,51.13691,-1.34784
23.04842,51.11752,-1.33918
23.04843,51.10649,-1.35708
23.05261,51.24313,-1.13881
23.05262,51.25294,-1.18246
23.05269,51.20039,-1.4475
23.0527,51.19844,-1.43874
23.05271,51.19546,-1.47745
23.06728,51.23071,-1.13493
23.09562,51.18331,-1.4784
23.09564,51.13999,-1.47884
23.10013,51.25104,-1.18748
23.12395,51.19294,-1.42032
23.12397,51.18141,-1.42379
23.12403,51.17962,-1.29238
23.13451,51.28598,-0.96203
23.13452,51.279,-0.9286
23.14345,51.26543,-1.09105
23.14347,51.25817,-1.09699
