cellId,areaId,lat,lon,phones,isNew
138.65111,138,0,0,8,
138.65141,138,0,0,8,
138.65161,138,0,0,8,
139.60171,139,36.10938,-115.14218,8,
139.60172,139,36.12787,-115.13525,8,
139.60173,139,36.12881,-115.17205,8,
139.60951,139,36.11821,-115.15754,8,
139.60962,139,36.13734,-115.21434,8,
139.61362,139,36.1274,-115.1842,8,
139.62152,139,36.13131,-115.18109,8,
140.60133,140,0,0,8,
140.60441,140,36.12304,-115.146395,8,true
140.61263,140,36.12376315167752,-115.14608889415486,8,true
145.61653,145,0,0,8,
165.02939,165,52.21113,0.1190075,73,true
165.09586,165,52.2102,0.118575,73,true
165.11307,165,0,0,73,
210.10532,210,0,0,8,
210.10552,210,0,0,8,
210.10581,210,0,0,8,
210.10582,210,0,0,8,
210.10762,210,0,0,8,
210.10763,210,0,0,8,
210.10781,210,0,0,8,
210.10782,210,0,0,8,
210.10791,210,0,0,8,
210.10792,210,0,0,8,
210.11083,210,0,0,8,
210.11091,210,0,0,8,
210.11092,210,0,0,8,
210.11191,210,0,0,8,
210.11192,210,0,0,8,
210.11193,210,0,0,8,
210.11271,210,0,0,8,
210.11272,210,0,0,8,
210.11611,210,0,0,8,
210.11612,210,0,0,8,
210.13871,210,0,0,8,
210.13872,210,0,0,8,
210.19341,210,0,0,8,
210.19342,210,0,0,8,
210.19521,210,0,0,8,
210.19522,210,0,0,8,
210.19523,210,0,0,8,
211.00032,211,0,0,6,
211.00033,211,0,0,6,
211.06842,211,0,0,6,
211.06843,211,0,0,6,
211.08161,211,0,0,6,
211.12641,211,0,0,6,
215.11003,215,0,0,8,
215.11402,215,0,0,8,
215.11403,215,0,0,8,
215.11642,215,0,0,8,
215.13831,215,0,0,8,
215.13833,215,0,0,8,
215.19313,215,0,0,8,
215.19452,215,0,0,8,
217.12092,217,0,0,8,
217.12093,217,0,0,8,
217.12101,217,0,0,8,
217.12102,217,0,0,8,
217.12103,217,0,0,8,
217.12123,217,0,0,8,
217.12132,217,0,0,8,
217.12152,217,0,0,8,
217.12153,217,0,0,8,
