cellId,areaId,lat,lon
211.08161,211,0,0
211.12641,211,0,0
215.11003,215,0,0
215.11402,215,0,0
215.11403,215,0,0
215.11642,215,0,0
215.13831,215,0,0
215.13833,215,0,0
215.19313,215,0,0
215.19452,215,0,0
217.12092,217,0,0
217.12093,217,0,0
217.12101,217,0,0
217.12102,217,0,0
217.12103,217,0,0
217.12123,217,0,0
217.12132,217,0,0
217.12152,217,0,0
217.12153,217,0,0
217.12181,217,0,0
217.12182,217,0,0
217.12183,217,0,0
217.12222,217,0,0
217.12262,217,0,0
217.12263,217,0,0
217.12401,217,0,0
217.12511,217,0,0
217.12512,217,0,0
217.12521,217,0,0
217.12522,217,0,0
217.12531,217,0,0
217.12532,217,0,0
217.12533,217,0,0
217.12541,217,0,0
217.12542,217,0,0
217.12571,217,0,0
217.12572,217,0,0
217.12582,217,0,0
217.12583,217,0,0
217.12593,217,0,0
217.12723,217,0,0
217.12771,217,0,0
217.12772,217,0,0
217.13201,217,0,0
217.13202,217,0,0
217.13203,217,0,0
217.13231,217,0,0
217.13233,217,0,0
217.13262,217,0,0
217.13263,217,0,0
217.13452,217,0,0
217.13502,217,0,0
217.13571,217,0,0
217.13611,217,0,0
217.13612,217,0,0
220.13001,220,0,0
220.13002,220,0,0
220.13003,220,0,0
220.13951,220,0,0
220.13953,220,0,0
225.10021,225,0,0
225.10023,225,37.84035,-122.27075
225.10033,225,37.8235,-122.31571
225.10151,225,0,0
225.10161,225,38.2106,-122.45647
225.10163,225,37.86471,-122.32203
225.10201,225,37.78843,-122.33352
225.10202,225,37.78965,-122.33454
225.10321,225,0,0
225.10323,225,37.82172,-122.30698
225.10651,225,0,0
225.10652,225,0,0
225.11331,225,0,0
225.11332,225,0,0
225.11351,225,37.82306,-122.30361
225.11352,225,37.85132,-122.30943
225.13841,225,37.7961,-122.33163
225.13851,225,37.8268,-122.27582
225.13861,225,37.83121,-122.28974
225.13862,225,0,0
225.13863,225,0,0
225.19181,225,0,0
225.19182,225,0,0
225.47493,225,0,0
230.25571,230,37.42417,-121.91566
230.25573,230,37.41925,-121.92294
230.25881,230,37.43241,-121.91872
230.25882,230,37.42671,-121.91344
230.25883,230,37.426,-121.91916
230.25901,230,37.43623,-121.89472
230.25903,230,37.43043,-121.90522
230.29271,230,0,0
230.29272,230,0,0
230.29273,230,0,0
230.29631,230,37.4602,-121.92389
230.29632,230,37.44815,-121.92187
230.29651,230,37.43118,-121.8867
235.25193,235,37.40889,-121.94592
235.25371,235,37.3942,-121.97785
235.25372,235,37.38408,-121.97001
235.25373,235,37.3869,-121.98215
235.25641,235,37.37868,-121.9931
235.25642,235,37.37279,-121.98047
235.25643,235,37.37166,-121.99732
235.25651,235,37.35572,-121.99733
235.25652,235,37.34983,-121.99603
235.25653,235,37.35108,-122.00522
235.25661,235,37.37639,-121.96441
235.25662,235,37.3653,-121.95449
235.25663,235,37.36789,-121.96592
235.25671,235,37.35708,-121.96866
235.25672,235,37.35242,-121.96753
235.25673,235,37.35193,-121.97546
235.25711,235,37.38843,-121.98935
235.25713,235,37.38454,-121.99751
235.25751,235,37.4197,-121.95493
235.25752,235,37.41622,-121.9795
235.25771,235,37.37698,-121.9439
235.25772,235,37.37528,-121.95119
235.25773,235,37.38115,-121.96074
235.25861,235,0,0
235.25862,235,0,0
235.25863,235,0,0
235.29061,235,37.35437,-122.01537
235.29062,235,37.34952,-122.01385
235.29081,235,37.392,-121.94943
235.29082,235,37.39083,-121.94543
235.29083,235,37.38773,-121.95742
235.29281,235,37.36601,-121.97634
235.29282,235,37.35632,-121.97321
235.29292,235,37.39762,-121.98692
235.29293,235,37.40235,-122.00161
235.29311,235,37.37363,-121.98461
235.29312,235,37.36055,-121.99362
235.29313,235,37.36541,-121.99703
235.32221,235,0,0
235.43442,235,37.3915,-121.99828
235.43443,235,37.39387,-122.00765
240.20151,240,37.77431,-122.4194
240.20152,240,37.76896,-122.41705
240.20181,240,37.75206,-122.40398
240.20182,240,37.74466,-122.40442
240.20183,240,37.74817,-122.4057
240.20221,240,37.77035,-122.40823
240.20223,240,37.76922,-122.41343
240.20241,240,37.7818,-122.42774
240.20242,240,37.77603,-122.42573
240.20261,240,0,0
240.20263,240,0,0
240.20292,240,37.75048,-122.41024
240.20323,240,37.74343,-122.40203
240.20371,240,37.73739,-122.40853
240.20372,240,37.7341,-122.40811
240.21201,240,37.76183,-122.40573
240.22831,240,37.77576,-122.42303
240.22832,240,37.77565,-122.42351
240.24561,240,37.76401,-122.40785
245.20421,245,37.69512,-122.39287
245.20422,245,37.67282,-122.39153
245.20431,245,37.6443,-122.40598
245.20432,245,37.63675,-122.40599
245.20681,245,37.62307,-122.40065
245.20682,245,37.61838,-122.3958
245.20731,245,37.61198,-122.3923
245.20732,245,37.60203,-122.38936
245.21131,245,37.66713,-122.3958
245.21591,245,37.61592,-122.3873
245.21592,245,37.68145,-122.39753
245.21801,245,37.65256,-122.40597
245.21802,245,37.6546,-122.40582
245.21811,245,37.62424,-122.40608
245.21812,245,37.63173,-122.4115
245.21982,245,37.61267,-122.39555
245.22271,245,37.69568,-122.39241
245.22272,245,37.68599,-122.39093
245.30605,245,37.61792,-122.38692
245.30606,245,37.61712,-122.38709
255.20401,255,37.7189,-122.3997
255.20471,255,37.72958,-122.4032
255.20473,255,37.72379,-122.40126
255.24583,255,37.72571,-122.40313
260.20011,260,37.78754,-122.40834
260.20021,260,37.78192,-122.39791
